id,desc,manufacturer,calories,carbs,fat,protein
1001,"Butter, salted",,717,0.06,81.11,0.85
1002,"Butter, whipped, with salt",,731,0.0,78.3,0.49
1003,"Butter oil, anhydrous",,876,0.0,99.48,0.28
1004,Blue Cheese,,353,2.34,28.74,21.4
1005,Brick Cheese,,371,2.79,29.68,23.24
1006,Brie,,334,0.45,27.68,20.75
1007,Camembert,,300,0.46,24.26,19.8
1008,Caraway Cheese,,376,3.06,29.2,25.18
1009,Cheddar Cheese,,403,3.37,33.31,22.87
1010,Cheshire Cheese,,387,4.78,30.6,23.37
1011,Colby,,394,2.57,32.11,23.76
1012,Cottage Cheese,,98,3.38,4.3,11.12
1013,Cottage Cheese with fruit,,97,4.61,3.85,10.69
1014,"Cottage Cheese, nonfat, uncreamed",,72,6.66,0.29,10.34
1015,"Cottage Cheese, lowfat 2%",,81,4.76,2.27,10.45
1016,"Cottage Cheese, lowfat 1% milkfat",,72,2.72,1.02,12.39
1017,"Cream Cheese, ",,350,5.52,34.44,6.15
1018,Edam cheese,,357,1.43,28.57,24.99
1019,Feta cheese,,265,3.88,21.49,14.21
1020,Fontina,,389,1.55,31.14,25.6
1021,Gjetost,,466,42.65,29.51,9.65
1022,Gouda,,356,2.22,27.44,24.94
1023,Gruyere,,413,0.36,32.34,29.81
1024,Limburger,,327,0.49,27.25,20.05
1025,Monterey,,373,0.68,30.28,24.48
1026,"Mozzarella, whole milk",,299,2.4,22.14,22.17
1028,"Mozzarella, part skim milk",,254,2.77,15.92,24.26
1030,Muenster,,368,1.12,30.04,23.41
1031,Neufchatel,,253,3.59,22.78,9.15
1032,"Parmesan, grated",,420,13.91,27.84,28.42
1033,"Parmesan, hard",,392,3.22,25.0,35.75
1034,Port de salut,,352,0.57,28.2,23.78
1035,Provolone,,351,2.14,26.62,25.58
1036,"Ricotta, whole milk",,150,7.27,10.18,7.54
1037,"Ricotta, part skim milk",,138,5.14,7.91,11.39
1038,Romano,,387,3.63,26.94,31.8
1039,Roquefort,,369,2.0,30.64,21.54
1040,Swiss Cheese,,393,1.44,30.99,26.96
1041,Tilsit,,340,1.88,25.98,24.41
1042,American Cheese with vitamin D,,366,4.78,30.71,18.13
1043,Pimento Cheese,,375,1.73,31.2,22.13
1044,Swiss Cheese (Pasteurized Processed),,334,2.1,25.01,24.73
1045,"Cheese food, cold pack, American",,331,8.32,24.46,19.66
1046,"Cheese food, pasteurized process, American, vitamin D fortified",,330,8.56,25.63,16.86
1047,"Cheese food, pasteurized process, swiss",,323,4.5,24.14,21.92
1048,"Cheese spread, pasteurized process, American",,290,8.73,21.23,16.41
1049,"Cream, fluid, half and half",,131,4.3,11.5,3.13
1050,"Cream, fluid, light (coffee cream or table cream)",,195,3.66,19.1,2.96
1052,"Cream, fluid, light whipping",,292,2.96,30.91,2.17
1053,"Cream, fluid, heavy whipping",,340,2.84,36.08,2.84
1054,"Cream, whipped, cream topping, pressurized",,257,12.49,22.22,3.2
1055,"Cream, sour, reduced fat, cultured",,135,4.26,12.0,2.94
1056,"Cream, sour, cultured",,198,4.63,19.35,2.44
1057,Eggnog,,88,8.05,4.19,4.55
1058,"Sour dressing, non-butterfat, cultured, filled cream-type",,178,4.68,16.57,3.25
1059,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",,63,4.74,3.46,3.33
1060,"Milk, filled, fluid, with lauric acid oil",,63,4.74,3.4,3.33
1061,American (nonfat or fat free),,126,10.53,0.0,21.05
1064,"Yogurt, Greek, 2% fat, apricot, CHOBANI",Chobani,93,12.15,1.71,7.22
1065,"Yogurt, Greek, 2%fat, coconut blend, CHOBANI",Chobani,92,11.04,1.71,8.11
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",,136,11.38,9.97,1.0
1068,"Cream substitute, liquid, with lauric acid oil and sodium caseinate",,136,11.38,9.97,1.0
1069,"Cream substitute, powdered",,529,59.29,32.92,2.48
1070,"Dessert topping, powdered",,577,52.54,39.92,4.9
1071,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",,194,17.13,12.72,3.61
1072,"Dessert topping, pressurized",,264,16.07,22.3,0.98
1073,"Dessert topping, semi solid, frozen",,318,23.05,25.31,1.25
1074,"Sour cream, imitation, cultured",,208,6.63,19.52,2.4
1076,"Milk substitutes, fluid, with lauric acid oil",,61,6.16,3.41,1.75
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",,61,4.8,3.25,3.15
1078,"Milk, producer, fluid, 3.7% milkfat",,64,4.65,3.66,3.28
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",,50,4.8,1.98,3.3
1081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",,56,5.49,1.98,3.95
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",,42,4.99,0.97,3.37
1084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",,48,5.52,1.17,3.93
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",,34,4.96,0.08,3.37
1087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",,41,5.56,0.25,3.96
1088,"Milk, buttermilk, fluid, cultured, lowfat",,40,4.79,1.07,3.31
1089,"Milk, low sodium, fluid",,61,4.46,3.46,3.1
1090,"Milk, dry, whole, with added vitamin D",,496,38.42,26.71,26.32
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",,362,51.98,0.77,36.16
1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",,358,52.19,0.72,35.1
1093,"Milk, dry, nonfat, calcium reduced",,354,51.8,0.2,35.5
1094,"Milk, buttermilk, dried",,387,49.0,5.78,34.3
1095,"Milk, canned, condensed, sweetened",,321,54.4,8.7,7.91
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",,134,10.04,7.56,6.81
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",,78,11.35,0.2,7.55
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",,83,10.34,3.39,3.17
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",,76,12.13,1.9,2.99
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",,64,10.15,1.11,3.46
1105,"Milk, chocolate beverage, hot cocoa, homemade",,77,10.74,2.34,3.52
1106,"Milk, goat, fluid, with added vitamin D",,69,4.45,4.14,3.56
1107,"Milk, human, mature, fluid",,70,6.89,4.38,1.03
1108,"Milk, indian buffalo, fluid",,97,5.18,6.89,3.75
1109,"Milk, sheep, fluid",,108,5.36,7.0,5.98
1110,"Milk shakes, thick chocolate",,119,21.15,2.7,3.05
1111,"Milk shakes, thick vanilla",,112,17.75,3.03,3.86
1112,"Whey, acid, fluid",,24,5.12,0.09,0.76
1113,"Whey, acid, dried",,339,73.45,0.54,11.73
1114,"Whey, sweet, fluid",,27,5.14,0.36,0.85
1115,"Whey, sweet, dried",,353,74.46,1.07,12.93
1116,"Yogurt, plain, whole milk",,61,4.66,3.25,3.47
1117,"Yogurt, plain, low fat",,63,7.04,1.55,5.25
1118,"Yogurt, plain, skim milk",,56,7.68,0.18,5.73
1119,"Yogurt, vanilla, low fat.",,85,13.8,1.25,4.93
1120,"Yogurt, fruit, low fat,9 g protein/8 oz",,99,18.64,1.15,3.98
1121,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",,102,19.05,1.08,4.37
1122,"Yogurt, fruit, low fat, 11g protein/8 oz",,105,18.6,1.41,4.86
1123,"Egg, whole, raw, fresh",,143,0.72,9.51,12.56
1124,"Egg, white, raw, fresh",,52,0.73,0.17,10.9
1125,"Egg, yolk, raw, fresh",,322,3.59,26.54,15.86
1126,"Egg, yolk, raw, frozen, pasteurized",,296,0.81,25.6,15.53
1127,"Egg, yolk, raw, frozen, sugared, pasteurized",,307,10.95,22.82,13.87
1128,"Egg, whole, cooked, fried",,196,0.83,14.84,13.61
1129,"Egg, whole, cooked, hard-boiled",,155,1.12,10.61,12.58
1130,"Egg, whole, cooked, omelet",,154,0.64,11.66,10.57
1131,"Egg, whole, cooked, poached",,143,0.71,9.47,12.51
1132,"Egg, whole, cooked, scrambled",,149,1.61,10.98,9.99
1133,"Egg, whole, dried",,592,1.13,43.9,48.05
1134,"Egg, whole, dried, stabilized, glucose reduced",,615,2.38,43.95,48.17
1135,"Egg, white, dried, flakes, stabilized, glucose reduced",,351,4.17,0.04,76.92
1136,"Egg, white, dried, powder, stabilized, glucose reduced",,376,4.47,0.04,82.4
1137,"Egg, yolk, dried",,669,0.66,59.13,33.63
1138,"Egg, duck, whole, fresh, raw",,185,1.45,13.77,12.81
1139,"Egg, goose, whole, fresh, raw",,185,1.35,13.27,13.87
1140,"Egg, quail, whole, fresh, raw",,158,0.41,11.09,13.05
1141,"Egg, turkey, whole, fresh, raw",,171,1.15,11.88,13.68
1144,"Egg substitute, powder",,444,21.8,13.0,55.5
1145,"Butter, without salt",,717,0.06,81.11,0.85
1146,"Parmesan, shredded",,415,3.41,27.34,37.86
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",,35,4.86,0.18,3.37
1153,"Milk, canned, evaporated, with added vitamin A",,134,10.04,7.56,6.81
1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",,362,51.98,0.77,36.16
1155,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",,358,52.19,0.72,35.1
1156,"Goat, hard",,452,2.17,35.59,30.52
1157,"Goat, semisoft",,364,0.12,29.84,21.58
1158,"Yogurt, Greek, 2% fat, key lime blend, CHOBANI",Chobani,92,11.91,1.47,7.75
1159,"Goat, soft",,264,0.0,21.08,18.52
1160,"Egg, yolk, raw, frozen, salted, pasteurized",,275,1.77,22.93,14.07
1161,"Cheese substitute, mozzarella",,248,23.67,12.22,11.47
